Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Rajshahi,Bogura,Bogra Sadar,Bogra Sadar Bazar,Broiler chicken,2025,Kilogram,153.09--162.94,158.01,Quintal,"14,317.65--15,300","14,808.82"
Rajshahi,Bogura,Bogra Sadar,Bogra Sadar Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,558.87--580.75,569.81,Quintal,"50,792.45--52,490.57","51,641.51"
Rajshahi,Bogura,Bogra Sadar,Bogra Sadar Bazar,Broiler chicken,2026,Kilogram,165.9--174.58,170.24,Quintal,"15,633.96--16,460.38","16,047.17"
Rajshahi,Bogura,Bogra Sadar,Bogra Sadar Bazar,Sonali Chicken,2026,Kilogram,277.78--290.19,283.98,Quintal,"26,314.81--27,314.81","26,814.81"
Rajshahi,Bogura,Sherpur,Sherpur Sadar Bazar (Baroduari Bazar),Local Hen - Big (above 900 gm),2026,Kilogram,500--520,510,Quintal,"48,000--50,000","49,000"
Rajshahi,Bogura,Sherpur,Sherpur Sadar Bazar (Baroduari Bazar),Broiler chicken,2026,Kilogram,156.25--166.25,161.25,Quintal,"14,625--15,625","15,125"
Rajshahi,Bogura,Sherpur,Sherpur Sadar Bazar (Baroduari Bazar),Sonali Chicken,2026,Kilogram,250--260,255,Quintal,"23,000--24,000","23,500"
Rajshahi,Rajshahi,Puthia,Baneshor Bazar,Broiler chicken,2025,Kilogram,160--165,162.5,Quintal,"15,000--15,500","15,250"
Rajshahi,Rajshahi,Puthia,Baneshor Bazar,Sonali Chicken,2025,Kilogram,270--280,275,Quintal,"25,800--26,000","25,900"
Rajshahi,Rajshahi,Puthia,Baneshor Bazar,Broiler chicken,2026,Kilogram,172.44--180.49,176.46,Quintal,"15,597.56--16,195.12","15,896.34"
Rajshahi,Rajshahi,Puthia,Baneshor Bazar,Sonali Chicken,2026,Kilogram,291.22--317.8,304.51,Quintal,"26,719.51--28,841.46","27,780.49"
Rajshahi,Rajshahi,Godagari,Godagari Sadar Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,0--0,0,Quintal,0--0,0
Rajshahi,Rajshahi,Godagari,Godagari Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,548.89--530.15,539.52,Quintal,"52,200--53,411.11","52,805.56"
Rajshahi,Rajshahi,Godagari,Godagari Sadar Bazar,Broiler chicken,2026,Kilogram,170--178.67,174.33,Quintal,"15,288.89--15,814.81","15,551.85"
Rajshahi,Rajshahi,Godagari,Godagari Sadar Bazar,Sonali Chicken,2026,Kilogram,291.41--317.04,304.22,Quintal,"26,992.59--29,144.44","28,068.52"
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,491.73--509.02,500.38,Quintal,"46,285.71--47,304.51","46,795.11"
Rajshahi,Rajshahi,Rajshahi City Corporation,Rajshahi Sadar Bazar,Broiler chicken,2025,Kilogram,161.24--170.3,165.77,Quintal,"14,454.89--14,981.2","14,718.05"
