Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,302.68--335.67,319.17,Quintal,"27,100.64--29,665.61","28,383.12"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Katla-Small (1.50-2.00 kg),2026,Kilogram,292.23--338.34,315.29,Quintal,"25,500--28,277.07","26,888.54"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Pangash (big),2026,Kilogram,184.59--194.59,189.59,Quintal,"16,229.3--16,729.3","16,479.30"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Hilsha (500-900) gm,2026,Kilogram,"1,441.75--2,400.97","1,921.36",Quintal,"134,174.76--232,621.36","183,398.06"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,225--262.5,243.75,Quintal,"20,625--24,000","22,312.50"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,210--247.5,228.75,Quintal,"19,500--21,750","20,625"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Pangash (big),2026,Kilogram,142.5--150,146.25,Quintal,"12,375--13,125","12,750"
Chattagram,Chandpur,Hajiganj,Hajiganj Bazar,Shrimp-small,2026,Kilogram,337.5--375,356.25,Quintal,"30,000--33,750","31,875"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Ruhi (Local) - small (1.50-2.00 kg),2025,Kilogram,350--400,375,Quintal,"28,000--30,000","29,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Ruhi (Imported) small (1.50-2.00 kg),2025,Kilogram,300--350,325,Quintal,"26,000--28,000","27,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Katla-Big (above 5 Kg),2025,Kilogram,400--420,410,Quintal,"35,000--36,000","35,500"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Mregal-big,2025,Kilogram,250--280,265,Quintal,"22,000--24,000","23,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Pangash (small),2025,Kilogram,180--212.13,196.06,Quintal,"16,606.3--17,106.3","16,856.30"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Telapia/Nilotica,2025,Kilogram,220--250,235,Quintal,"19,874.02--21,685.04","20,779.53"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Ruhi (Local) - small (1.50-2.00 kg),2026,Kilogram,350--400,375,Quintal,"28,000--30,000","29,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Ruhi (Imported) small (1.50-2.00 kg),2026,Kilogram,300--350,325,Quintal,"26,000--28,000","27,000"
Chattagram,Lakshmipur,Lakshmipur Sadar,"Sadar Bazar, Lakshmipur",Katla-Big (above 5 Kg),2026,Kilogram,406--430.87,418.43,Quintal,"34,813.33--35,813.33","35,313.33"
